Name,Overstrand List
12a_0030,"[3, 4, 7, 0, 12, 10, 11, 3, 13, 4, 6, 13, 5, 1]"
12a_0033,"[3, 4, 7, 0, 12, 10, 13, 3, 13, 11, 6, 4, 5, 1]"
12a_0035,"[3, 4, 8, 0, 10, 12, 13, 2, 13, 4, 5, 13, 5, 1]"
12a_0036,"[3, 4, 8, 0, 12, 10, 11, 2, 13, 4, 6, 4, 11, 1]"
12a_0048,"[4, 11, 7, 8, 1, 9, 5, 10, 6, 3, 0, 2]"
12a_0049,"[4, 15, 7, 14, 1, 10, 12, 3, 13, 12, 7, 8, 7, 12, 0, 2]"
12a_0051,"[5, 6, 12, 0, 6, 0, 3, 12, 11, 8, 13, 9, 3, 11, 7, 15]"
12a_0057,"[12, 9, 0, 2, 9, 8, 5, 11, 6, 2, 7, 4, 3, 13]"
12a_0060,"[3, 4, 5, 0, 9, 3, 10, 13, 4, 12, 7, 9, 11, 1]"
12a_0062,"[4, 10, 7, 5, 0, 12, 1, 12, 11, 8, 2, 9, 1, 13]"
12a_0066,"[4, 13, 11, 6, 1, 10, 4, 5, 2, 3, 5, 9, 0, 2]"
12a_0067,"[3, 4, 5, 0, 12, 3, 9, 10, 12, 7, 13, 4, 8, 1]"
12a_0071,"[3, 7, 9, 0, 8, 2, 10, 4, 5, 11, 6, 1]"
12a_0074,"[3, 8, 11, 0, 10, 3, 13, 1, 12, 2, 5, 13, 9, 1]"
12a_0077,"[5, 11, 6, 8, 9, 1, 10, 4, 7, 3, 0, 2]"
12a_0079,"[5, 13, 6, 7, 11, 1, 10, 11, 11, 3, 12, 4, 0, 2]"
12a_0081,"[9, 13, 14, 10, 0, 14, 0, 6, 4, 14, 13, 10, 1, 11, 7, 15]"
12a_0086,"[5, 13, 6, 8, 9, 1, 12, 3, 5, 8, 5, 3, 0, 2]"
12a_0088,"[6, 13, 6, 8, 7, 0, 9, 10, 11, 5, 4, 6, 0, 2]"
12a_0095,"[3, 10, 6, 12, 0, 4, 11, 10, 7, 1, 8, 1, 5, 13]"
12a_0097,"[12, 8, 6, 0, 3, 0, 13, 0, 13, 12, 9, 0, 10, 3, 4, 15]"
12a_0100,"[9, 4, 9, 1, 10, 15, 12, 10, 3, 13, 15, 7, 11, 8, 10, 2, 9, 17]"
12a_0103,"[7, 6, 13, 6, 8, 14, 5, 0, 6, 14, 13, 10, 2, 11, 1, 15]"
12a_0113,"[6, 13, 4, 11, 9, 12, 1, 11, 2, 12, 7, 3, 0, 2]"
12a_0114,"[6, 12, 4, 1, 3, 7, 0, 14, 3, 12, 9, 1, 10, 3, 1, 15]"
12a_0116,"[6, 13, 11, 2, 9, 12, 1, 3, 2, 5, 3, 10, 0, 2]"
12a_0117,"[14, 10, 5, 0, 11, 10, 9, 6, 12, 7, 4, 2, 9, 5, 4, 15]"
12a_0119,"[5, 13, 12, 11, 9, 1, 10, 2, 12, 6, 3, 10, 0, 2]"
12a_0121,"[6, 4, 10, 7, 0, 7, 0, 12, 11, 8, 3, 9, 2, 13]"
12a_0122,"[6, 11, 9, 10, 8, 4, 1, 5, 7, 3, 0, 2]"
12a_0127,"[3, 8, 4, 0, 12, 10, 5, 1, 11, 6, 8, 9, 1, 13]"
12a_0130,"[12, 4, 6, 0, 9, 2, 12, 11, 7, 5, 8, 10, 4, 13]"
12a_0136,"[3, 6, 7, 0, 2, 9, 4, 10, 11, 5, 8, 1]"
12a_0150,"[6, 15, 11, 7, 12, 14, 1, 12, 5, 12, 7, 5, 5, 12, 0, 2]"
12a_0151,"[8, 12, 13, 9, 0, 0, 5, 4, 13, 12, 9, 1, 10, 5, 6, 15]"
12a_0155,"[8, 4, 8, 1, 9, 10, 14, 3, 7, 13, 14, 14, 5, 7, 13, 2, 8, 17]"
12a_0156,"[10, 0, 7, 6, 3, 14, 4, 14, 12, 0, 2, 13, 2, 12, 6, 12, 10, 17]"
12a_0157,"[7, 13, 7, 9, 10, 8, 0, 5, 6, 11, 4, 7, 0, 2]"
12a_0163,"[13, 6, 12, 8, 0, 1, 0, 6, 13, 12, 9, 2, 10, 5, 7, 15]"
12a_0164,"[7, 13, 7, 11, 10, 8, 0, 5, 6, 4, 9, 7, 0, 2]"
12a_0165,"[6, 9, 13, 14, 10, 9, 8, 0, 14, 14, 13, 10, 2, 11, 7, 15]"
12a_0166,"[7, 13, 7, 10, 11, 9, 0, 6, 5, 8, 4, 7, 0, 2]"
12a_0167,"[8, 6, 7, 11, 0, 9, 2, 0, 1, 12, 9, 4, 10, 13]"
12a_0168,"[2, 7, 0, 1, 8, 11, 9, 2, 6, 7, 5, 10, 8, 1]"
12a_0172,"[3, 7, 4, 0, 8, 9, 10, 2, 5, 11, 6, 1]"
12a_0175,"[5, 7, 13, 7, 6, 0, 14, 13, 12, 8, 14, 8, 2, 10, 1, 15]"
12a_0177,"[3, 7, 4, 0, 8, 9, 13, 2, 12, 13, 13, 5, 7, 12, 1, 15]"
12a_0179,"[3, 7, 4, 0, 11, 9, 10, 2, 5, 6, 8, 1]"
12a_0181,"[3, 5, 9, 0, 9, 12, 11, 6, 1, 8, 7, 10, 9, 1]"
12a_0182,"[3, 4, 7, 0, 8, 11, 9, 3, 6, 7, 5, 10, 8, 1]"
12a_0189,"[3, 4, 5, 0, 8, 3, 10, 12, 5, 6, 7, 8, 11, 1]"
12a_0193,"[4, 3, 8, 5, 0, 9, 10, 11, 2, 6, 7, 1]"
12a_0195,"[3, 5, 9, 0, 9, 11, 12, 10, 1, 7, 8, 6, 9, 1]"
12a_0197,"[6, 5, 9, 10, 9, 7, 0, 13, 11, 11, 3, 5, 2, 1]"
12a_0203,"[4, 6, 8, 11, 0, 3, 9, 10, 2, 7, 5, 1]"
12a_0206,"[13, 4, 8, 0, 10, 12, 13, 2, 13, 4, 5, 6, 11, 4]"
12a_0207,"[4, 8, 11, 13, 0, 2, 11, 11, 5, 12, 3, 9, 10, 1]"
12a_0208,"[5, 11, 13, 7, 14, 0, 14, 1, 2, 13, 13, 8, 3, 12, 1, 15]"
12a_0209,"[4, 7, 10, 11, 0, 2, 9, 5, 3, 6, 8, 1]"
12a_0210,"[15, 5, 15, 7, 1, 10, 12, 4, 14, 5, 14, 6, 14, 10, 4, 3]"
12a_0212,"[2, 5, 0, 1, 8, 2, 10, 4, 12, 6, 12, 8, 7, 1]"
12a_0215,"[4, 5, 7, 8, 0, 12, 13, 3, 4, 13, 5, 6, 11, 1]"
12a_0223,"[6, 11, 12, 14, 14, 15, 0, 11, 14, 5, 12, 6, 8, 9, 13, 12, 1, 17]"
12a_0224,"[4, 7, 9, 11, 0, 8, 3, 5, 10, 2, 6, 1]"
12a_0229,"[4, 10, 12, 14, 0, 3, 1, 2, 12, 12, 7, 3, 11, 5, 1, 15]"
12a_0231,"[4, 5, 6, 9, 0, 2, 14, 11, 3, 11, 6, 15, 10, 6, 10, 1]"
12a_0233,"[11, 9, 10, 0, 7, 3, 1, 5, 2, 8, 6, 4]"
12a_0234,"[4, 5, 11, 0, 1, 3, 8, 9, 12, 8, 2, 6, 9, 13]"
12a_0236,"[5, 11, 6, 7, 8, 0, 3, 4, 10, 11, 1, 10, 2, 13]"
12a_0239,"[6, 5, 12, 9, 7, 7, 0, 2, 14, 11, 12, 2, 11, 3, 5, 15]"
12a_0244,"[4, 7, 15, 14, 1, 12, 9, 2, 13, 12, 7, 8, 7, 12, 0, 3]"
12a_0245,"[6, 9, 8, 9, 13, 12, 3, 10, 6, 2, 7, 9, 0, 5]"
12a_0246,"[4, 10, 8, 11, 0, 3, 9, 2, 6, 7, 5, 1]"
12a_0251,"[4, 10, 9, 12, 0, 3, 1, 3, 2, 8, 7, 5, 1, 13]"
12a_0256,"[4, 5, 9, 11, 0, 10, 8, 12, 2, 13, 2, 10, 7, 11, 1, 15]"
12a_0260,"[6, 10, 8, 11, 10, 13, 0, 10, 12, 4, 13, 9, 3, 1]"
12a_0265,"[4, 7, 6, 11, 0, 8, 9, 10, 3, 2, 5, 1]"
12a_0269,"[4, 5, 7, 10, 0, 7, 2, 12, 13, 2, 15, 5, 8, 6, 7, 1]"
12a_0270,"[16, 4, 8, 0, 11, 13, 16, 2, 16, 4, 5, 10, 16, 11, 11, 5, 4, 17]"
12a_0280,"[5, 6, 13, 12, 11, 9, 11, 11, 1, 2, 4, 10, 0, 3]"
12a_0281,"[5, 7, 13, 12, 9, 2, 1, 6, 4, 6, 7, 6, 0, 3]"
12a_0287,"[5, 6, 11, 9, 3, 0, 10, 11, 4, 12, 7, 5, 10, 1]"
12a_0288,"[4, 8, 11, 12, 0, 2, 11, 11, 5, 3, 13, 9, 10, 1]"
12a_0290,"[5, 11, 6, 7, 8, 2, 0, 4, 10, 11, 1, 10, 3, 13]"
12a_0291,"[15, 5, 15, 7, 1, 12, 13, 4, 13, 14, 5, 13, 5, 9, 4, 3]"
12a_0292,"[13, 6, 8, 0, 6, 9, 2, 11, 3, 5, 7, 9, 4, 3]"
12a_0295,"[13, 8, 13, 12, 11, 9, 10, 1, 3, 6, 4, 10, 9, 3]"
12a_0296,"[14, 12, 9, 2, 7, 0, 12, 11, 3, 7, 13, 8, 5, 11, 6, 15]"
12a_0297,"[4, 5, 10, 12, 1, 7, 0, 2, 12, 8, 3, 8, 6, 13]"
12a_0298,"[6, 8, 1, 11, 9, 10, 3, 2, 7, 5, 0, 4]"
12a_0302,"[6, 0, 7, 10, 9, 12, 1, 5, 4, 8, 5, 8, 0, 1]"
12a_0303,"[5, 7, 10, 9, 6, 0, 12, 4, 3, 8, 4, 8, 1, 13]"
12a_0306,"[4, 6, 8, 5, 0, 12, 11, 9, 2, 3, 2, 3, 1, 13]"
12a_0308,"[4, 7, 10, 12, 0, 3, 13, 3, 13, 13, 7, 5, 14, 6, 1, 15]"
12a_0311,"[4, 5, 8, 9, 0, 14, 11, 2, 3, 11, 5, 15, 10, 5, 10, 1]"
12a_0312,"[8, 0, 10, 15, 7, 13, 15, 0, 2, 15, 6, 5, 6, 12, 2, 5, 8, 17]"
12a_0313,"[15, 5, 15, 8, 1, 12, 10, 3, 10, 5, 14, 9, 6, 9, 4, 3]"
12a_0319,"[15, 7, 15, 13, 11, 12, 1, 13, 3, 14, 12, 4, 7, 9, 10, 3]"
12a_0321,"[3, 6, 9, 12, 8, 2, 10, 4, 5, 1, 7, 3, 4, 13]"
12a_0325,"[5, 9, 13, 8, 12, 2, 8, 10, 4, 2, 7, 9, 0, 3]"
12a_0329,"[4, 9, 6, 13, 0, 13, 11, 12, 1, 12, 6, 7, 2, 1]"
12a_0331,"[4, 11, 8, 6, 0, 11, 9, 10, 3, 7, 12, 4, 11, 1]"
12a_0332,"[2, 7, 0, 1, 9, 13, 5, 2, 12, 7, 8, 14, 6, 8, 1, 15]"
12a_0334,"[4, 11, 8, 7, 0, 11, 9, 10, 6, 3, 12, 4, 11, 1]"
12a_0336,"[15, 5, 15, 10, 1, 11, 14, 5, 12, 3, 6, 8, 10, 6, 4, 3]"
12a_0342,"[5, 3, 8, 6, 10, 0, 9, 11, 2, 4, 7, 1]"
12a_0345,"[14, 4, 6, 0, 9, 2, 14, 11, 4, 13, 7, 9, 14, 9, 4, 15]"
12a_0346,"[3, 10, 8, 12, 2, 9, 1, 4, 5, 6, 7, 3, 4, 13]"
12a_0347,"[3, 5, 10, 0, 9, 11, 10, 11, 1, 12, 7, 2, 3, 1]"
12a_0348,"[4, 9, 11, 14, 0, 14, 2, 12, 13, 14, 6, 8, 11, 2, 1, 15]"
12a_0358,"[3, 9, 8, 11, 10, 2, 1, 5, 6, 7, 0, 4]"
12a_0360,"[14, 5, 11, 12, 0, 3, 4, 14, 13, 8, 5, 6, 9, 12, 5, 15]"
12a_0362,"[4, 10, 8, 7, 0, 10, 9, 12, 11, 4, 6, 3, 10, 1]"
12a_0373,"[7, 8, 13, 8, 11, 10, 0, 1, 6, 5, 9, 8, 0, 3]"
12a_0374,"[3, 7, 8, 11, 9, 10, 2, 6, 1, 5, 0, 4]"
12a_0375,"[6, 7, 10, 11, 0, 8, 1, 0, 12, 8, 3, 4, 9, 13]"
12a_0376,"[6, 8, 9, 6, 13, 12, 11, 12, 3, 8, 3, 7, 0, 5]"
12a_0377,"[3, 7, 8, 11, 10, 2, 9, 5, 6, 1, 0, 4]"
12a_0386,"[4, 5, 6, 9, 0, 10, 3, 12, 7, 4, 6, 8, 10, 1]"
12a_0389,"[4, 10, 8, 9, 0, 10, 4, 12, 11, 7, 6, 3, 10, 1]"
12a_0390,"[3, 6, 8, 12, 2, 9, 10, 4, 5, 1, 7, 3, 4, 13]"
12a_0392,"[10, 0, 8, 7, 3, 13, 15, 4, 15, 0, 2, 15, 8, 7, 2, 7, 10, 17]"
12a_0393,"[15, 4, 7, 11, 10, 15, 10, 12, 2, 4, 14, 8, 3, 10, 11, 6]"
12a_0395,"[6, 10, 15, 11, 12, 10, 2, 3, 13, 14, 2, 5, 11, 9, 0, 3]"
12a_0396,"[2, 9, 8, 13, 8, 10, 11, 0, 7, 1, 6, 8, 0, 4]"
12a_0401,"[14, 10, 0, 0, 1, 12, 11, 6, 0, 4, 8, 7, 8, 11, 9, 15]"
12a_0404,"[14, 5, 11, 6, 0, 12, 4, 14, 13, 8, 5, 3, 9, 12, 5, 15]"
12a_0408,"[15, 4, 8, 11, 10, 15, 10, 3, 12, 4, 14, 2, 7, 10, 11, 6]"
12a_0409,"[3, 5, 8, 12, 2, 9, 10, 4, 1, 6, 7, 3, 4, 13]"
12a_0411,"[10, 6, 12, 7, 8, 0, 3, 4, 10, 0, 5, 2, 11, 13]"
12a_0413,"[3, 5, 8, 11, 7, 9, 1, 10, 6, 2, 0, 4]"
12a_0414,"[9, 7, 16, 12, 15, 4, 9, 12, 0, 2, 7, 0, 4, 6, 5, 14, 7, 17]"
12a_0415,"[4, 7, 10, 5, 0, 8, 9, 3, 11, 2, 6, 1]"
12a_0416,"[4, 7, 10, 5, 0, 11, 9, 3, 6, 2, 8, 1]"
12a_0419,"[4, 7, 10, 8, 0, 3, 9, 5, 11, 2, 6, 1]"
12a_0420,"[13, 4, 6, 0, 10, 2, 13, 11, 12, 4, 7, 8, 10, 4]"
12a_0422,"[12, 4, 6, 0, 9, 2, 10, 11, 12, 5, 7, 8, 4, 13]"
12a_0425,"[14, 4, 6, 0, 9, 2, 10, 13, 11, 5, 9, 10, 9, 10, 4, 15]"
12a_0426,"[5, 10, 13, 6, 9, 2, 12, 5, 4, 8, 2, 4, 0, 3]"
12a_0427,"[4, 9, 5, 8, 0, 7, 10, 3, 11, 2, 6, 1]"
12a_0428,"[5, 11, 6, 0, 8, 2, 3, 4, 10, 11, 1, 10, 7, 13]"
12a_0429,"[13, 5, 13, 7, 1, 9, 10, 12, 4, 7, 9, 3, 8, 3]"
12a_0433,"[12, 11, 10, 8, 9, 1, 0, 6, 4, 2, 9, 8, 7, 13]"
12a_0434,"[13, 8, 12, 6, 0, 8, 10, 13, 4, 6, 7, 2, 11, 5]"
12a_0435,"[13, 12, 11, 9, 10, 1, 0, 12, 13, 4, 2, 10, 8, 6]"
12a_0439,"[4, 9, 10, 8, 0, 3, 2, 5, 11, 7, 6, 1]"
12a_0444,"[14, 13, 12, 10, 14, 0, 4, 11, 1, 13, 7, 2, 11, 6, 6, 15]"
12a_0445,"[3, 7, 6, 11, 9, 10, 8, 2, 1, 5, 0, 4]"
12a_0446,"[3, 6, 5, 11, 10, 8, 9, 2, 1, 7, 0, 4]"
12a_0448,"[4, 12, 10, 5, 0, 10, 14, 13, 7, 1, 9, 1, 8, 12, 10, 1]"
12a_0450,"[6, 8, 11, 12, 8, 9, 0, 13, 7, 14, 8, 4, 11, 5, 1, 15]"
12a_0451,"[4, 9, 8, 6, 0, 10, 11, 2, 7, 5, 3, 1]"
12a_0456,"[5, 4, 7, 9, 6, 0, 10, 3, 11, 2, 8, 1]"
12a_0459,"[4, 7, 12, 8, 0, 3, 10, 5, 14, 7, 9, 7, 5, 3, 1, 15]"
12a_0463,"[12, 10, 8, 2, 0, 4, 9, 3, 6, 7, 5, 4, 5, 13]"
12a_0464,"[4, 8, 10, 12, 0, 8, 11, 4, 7, 3, 6, 9, 8, 1]"
12a_0472,"[4, 7, 12, 5, 0, 8, 10, 3, 14, 7, 9, 7, 3, 6, 1, 15]"
12a_0475,"[10, 8, 13, 12, 10, 4, 0, 11, 12, 5, 7, 1, 0, 3]"
12a_0482,"[5, 4, 10, 8, 6, 0, 13, 11, 2, 11, 2, 4, 2, 1]"
12a_0485,"[4, 9, 10, 5, 0, 8, 2, 3, 11, 7, 6, 1]"
12a_0486,"[4, 9, 10, 5, 0, 11, 2, 3, 6, 7, 8, 1]"
12a_0490,"[15, 7, 15, 10, 9, 11, 1, 9, 4, 12, 14, 7, 4, 10, 11, 3]"
12a_0491,"[6, 11, 12, 11, 8, 14, 0, 14, 11, 13, 3, 14, 10, 2, 1, 15]"
12a_0493,"[4, 12, 8, 6, 0, 9, 13, 2, 3, 4, 13, 1, 7, 1]"
12a_0494,"[16, 14, 9, 9, 10, 0, 0, 15, 13, 8, 1, 16, 9, 4, 12, 5, 12, 17]"
12a_0496,"[7, 8, 11, 0, 1, 3, 4, 5, 10, 11, 2, 10, 6, 13]"
12a_0498,"[5, 6, 7, 9, 11, 0, 10, 4, 3, 8, 2, 1]"
12a_0503,"[5, 6, 10, 12, 13, 0, 2, 3, 12, 12, 7, 4, 11, 1]"
12a_0504,"[15, 7, 15, 9, 14, 10, 1, 3, 4, 8, 14, 7, 3, 10, 6, 3]"
12a_0505,"[5, 10, 12, 8, 13, 0, 2, 12, 11, 4, 6, 4, 11, 1]"
12a_0508,"[13, 8, 13, 9, 12, 11, 12, 1, 3, 4, 6, 10, 10, 3]"
12a_0509,"[4, 6, 11, 7, 1, 8, 0, 5, 10, 11, 2, 10, 3, 13]"
12a_0515,"[5, 6, 11, 13, 12, 7, 1, 2, 12, 1, 5, 8, 0, 4]"
12a_0519,"[5, 9, 10, 12, 6, 0, 8, 10, 1, 2, 8, 3, 4, 13]"
12a_0523,"[4, 8, 11, 0, 7, 3, 1, 5, 10, 11, 2, 10, 6, 13]"
12a_0524,"[14, 11, 9, 10, 0, 4, 1, 11, 10, 2, 12, 4, 11, 6, 5, 15]"
12a_0525,"[4, 10, 12, 6, 0, 13, 1, 2, 12, 12, 7, 3, 11, 4, 1, 15]"
12a_0528,"[5, 7, 6, 11, 10, 9, 8, 2, 1, 3, 0, 4]"
12a_0529,"[5, 7, 8, 12, 14, 0, 4, 11, 12, 12, 2, 4, 11, 6, 1, 15]"
12a_0540,"[13, 9, 10, 11, 13, 12, 1, 11, 2, 8, 1, 5, 6, 5]"
12a_0541,"[6, 4, 8, 9, 7, 11, 0, 10, 3, 2, 5, 1]"
12a_0542,"[7, 8, 16, 10, 14, 15, 16, 0, 3, 13, 14, 14, 3, 15, 4, 8, 1, 17]"
12a_0546,"[14, 8, 13, 10, 0, 3, 1, 2, 7, 5, 14, 1, 9, 6, 5, 15]"
12a_0549,"[7, 5, 13, 10, 8, 0, 8, 0, 2, 0, 12, 13, 2, 12, 3, 15]"
12a_0554,"[10, 14, 16, 7, 9, 13, 3, 13, 7, 0, 14, 6, 8, 15, 9, 11, 14, 17]"
12a_0561,"[4, 9, 12, 11, 13, 2, 11, 11, 1, 6, 3, 10, 0, 5]"
12a_0562,"[14, 9, 13, 12, 14, 0, 13, 10, 4, 6, 4, 3, 11, 10, 6, 15]"
12a_0563,"[15, 7, 8, 15, 10, 12, 1, 2, 4, 5, 9, 15, 10, 10, 5, 4]"
12a_0564,"[16, 7, 10, 12, 15, 16, 0, 15, 2, 3, 9, 15, 10, 10, 3, 2, 7, 17]"
12a_0567,"[4, 5, 8, 9, 7, 11, 1, 2, 0, 6, 5, 6, 3, 13]"
12a_0569,"[5, 11, 8, 9, 7, 0, 11, 10, 3, 4, 12, 5, 11, 1]"
12a_0570,"[5, 9, 11, 12, 10, 0, 13, 4, 11, 6, 14, 4, 11, 4, 1, 15]"
12a_0571,"[5, 12, 7, 11, 0, 1, 0, 10, 1, 2, 3, 8, 9, 13]"
12a_0574,"[9, 10, 11, 5, 0, 12, 11, 6, 0, 1, 2, 7, 4, 13]"
12a_0575,"[4, 6, 8, 9, 13, 11, 2, 9, 2, 1, 5, 6, 0, 5]"
12a_0576,"[6, 7, 8, 11, 9, 10, 1, 2, 3, 5, 0, 4]"
12a_0577,"[7, 8, 11, 9, 12, 0, 8, 0, 3, 4, 2, 10, 5, 13]"
12a_0578,"[7, 8, 9, 12, 10, 0, 9, 1, 0, 4, 5, 3, 11, 13]"
12a_0579,"[4, 7, 8, 9, 11, 10, 3, 2, 6, 1, 0, 5]"
12a_0580,"[4, 7, 8, 9, 0, 1, 11, 2, 3, 4, 6, 10, 1, 13]"
12a_0588,"[3, 7, 10, 11, 0, 2, 1, 2, 12, 5, 1, 4, 9, 13]"
12a_0594,"[6, 9, 7, 13, 11, 12, 3, 6, 3, 6, 3, 5, 0, 4]"
12a_0596,"[10, 8, 11, 14, 0, 3, 0, 11, 0, 11, 0, 6, 4, 3, 13, 15]"
12a_0597,"[5, 7, 9, 10, 6, 0, 12, 11, 10, 2, 2, 4, 1, 13]"
12a_0611,"[15, 6, 9, 13, 15, 11, 4, 9, 2, 14, 5, 14, 2, 7, 6, 5]"
12a_0615,"[15, 6, 15, 8, 11, 1, 14, 3, 14, 13, 4, 13, 9, 6, 4, 3]"
12a_0617,"[5, 10, 6, 12, 0, 2, 4, 9, 10, 1, 9, 3, 7, 13]"
12a_0623,"[15, 6, 15, 9, 11, 1, 3, 4, 13, 7, 15, 9, 8, 9, 4, 3]"
12a_0626,"[5, 12, 8, 9, 0, 1, 0, 2, 11, 1, 7, 3, 10, 13]"
12a_0628,"[13, 6, 13, 12, 11, 1, 3, 13, 4, 3, 8, 9, 10, 3]"
12a_0629,"[11, 10, 0, 8, 13, 12, 2, 1, 4, 12, 7, 8, 0, 5]"
12a_0631,"[13, 6, 13, 12, 7, 1, 11, 5, 7, 3, 5, 9, 10, 3]"
12a_0633,"[15, 6, 15, 14, 13, 1, 3, 15, 13, 5, 4, 7, 15, 10, 11, 3]"
12a_0634,"[6, 9, 11, 15, 13, 14, 11, 3, 11, 6, 3, 3, 11, 5, 0, 4]"
12a_0635,"[14, 8, 11, 10, 7, 0, 12, 14, 4, 3, 9, 8, 5, 7, 6, 15]"
12a_0636,"[9, 11, 6, 9, 16, 2, 16, 15, 6, 1, 16, 2, 5, 8, 7, 14, 1, 17]"
12a_0637,"[13, 11, 8, 6, 9, 0, 12, 2, 7, 5, 13, 3, 9, 6]"
12a_0643,"[13, 4, 7, 0, 9, 10, 2, 11, 12, 5, 6, 9, 11, 4]"
12a_0647,"[9, 7, 12, 11, 9, 10, 1, 2, 0, 5, 3, 10, 8, 13]"
12a_0648,"[13, 10, 8, 13, 0, 12, 3, 2, 7, 1, 2, 5, 6, 5]"
12a_0650,"[8, 6, 12, 11, 2, 0, 8, 0, 5, 4, 3, 10, 9, 13]"
12a_0654,"[13, 6, 13, 9, 11, 1, 3, 13, 4, 12, 8, 3, 10, 3]"
12a_0655,"[13, 4, 7, 0, 9, 11, 2, 10, 13, 6, 8, 6, 11, 4]"
12a_0665,"[6, 11, 11, 8, 2, 0, 11, 15, 13, 11, 13, 2, 4, 10, 3, 12, 2, 17]"
12a_0666,"[3, 9, 11, 0, 2, 13, 12, 13, 1, 2, 4, 7, 11, 11, 1, 15]"
12a_0668,"[4, 10, 6, 0, 2, 12, 3, 9, 10, 1, 9, 5, 7, 13]"
12a_0670,"[7, 5, 11, 0, 8, 3, 4, 1, 10, 11, 2, 10, 6, 13]"
12a_0672,"[4, 10, 6, 7, 2, 12, 0, 9, 10, 1, 9, 5, 3, 13]"
12a_0679,"[12, 11, 9, 10, 0, 0, 5, 4, 0, 3, 1, 10, 9, 5, 6, 15]"
12a_0683,"[6, 5, 10, 8, 9, 7, 0, 11, 4, 2, 3, 1]"
12a_0684,"[12, 10, 9, 2, 12, 0, 11, 4, 3, 8, 6, 7, 6, 13]"
12a_0685,"[15, 6, 15, 8, 9, 1, 3, 14, 13, 14, 5, 13, 8, 3, 10, 3]"
12a_0689,"[12, 11, 9, 2, 12, 0, 4, 10, 3, 7, 8, 6, 6, 13]"
12a_0692,"[7, 12, 0, 11, 1, 8, 0, 5, 6, 1, 3, 10, 2, 13]"
12a_0693,"[6, 4, 5, 9, 2, 7, 0, 10, 11, 3, 8, 1]"
12a_0694,"[6, 13, 11, 8, 9, 0, 2, 12, 4, 2, 3, 10, 0, 2]"
12a_0699,"[6, 7, 11, 8, 10, 3, 0, 4, 13, 7, 5, 6, 8, 1]"
12a_0701,"[6, 7, 9, 12, 8, 11, 1, 4, 6, 3, 5, 10, 7, 13]"
12a_0702,"[6, 4, 8, 11, 9, 7, 0, 10, 2, 5, 3, 1]"
12a_0703,"[6, 10, 5, 9, 12, 11, 0, 10, 6, 4, 8, 3, 10, 1]"
12a_0705,"[6, 9, 10, 11, 8, 3, 0, 2, 4, 7, 5, 1]"
12a_0706,"[3, 10, 8, 9, 13, 9, 11, 2, 0, 7, 1, 9, 0, 5]"
12a_0708,"[6, 7, 10, 11, 9, 3, 0, 10, 5, 12, 6, 4, 10, 1]"
12a_0711,"[6, 4, 10, 11, 9, 7, 0, 3, 2, 5, 8, 1]"
12a_0712,"[6, 10, 8, 6, 12, 11, 0, 10, 5, 4, 3, 9, 10, 1]"
12a_0718,"[5, 9, 8, 11, 12, 7, 0, 2, 3, 2, 9, 4, 6, 13]"
12a_0719,"[6, 7, 10, 12, 15, 14, 1, 12, 4, 12, 7, 4, 4, 12, 0, 5]"
12a_0721,"[7, 8, 11, 10, 8, 0, 12, 1, 12, 3, 9, 4, 0, 5]"
12a_0723,"[6, 10, 8, 11, 12, 7, 0, 1, 10, 1, 3, 4, 5, 13]"
12a_0725,"[15, 7, 11, 14, 12, 15, 1, 2, 14, 3, 13, 8, 14, 3, 6, 6]"
12a_0730,"[15, 10, 13, 11, 15, 14, 1, 13, 2, 12, 7, 13, 2, 5, 6, 5]"
12a_0731,"[13, 7, 13, 8, 12, 10, 1, 3, 4, 6, 9, 6, 9, 3]"
12a_0735,"[16, 8, 16, 10, 12, 15, 16, 0, 3, 4, 9, 15, 10, 10, 4, 8, 8, 17]"
12a_0736,"[13, 7, 13, 12, 9, 10, 1, 3, 6, 5, 8, 6, 8, 3]"
12a_0737,"[9, 7, 8, 10, 12, 0, 10, 2, 0, 1, 5, 4, 11, 13]"
12a_0739,"[6, 7, 11, 9, 10, 12, 0, 2, 12, 4, 2, 3, 1, 13]"
12a_0741,"[15, 8, 9, 13, 15, 10, 1, 2, 7, 5, 14, 1, 7, 9, 6, 5]"
12a_0742,"[7, 5, 6, 11, 8, 2, 0, 1, 10, 11, 3, 10, 4, 13]"
12a_0750,"[7, 0, 9, 11, 18, 14, 0, 2, 3, 8, 14, 9, 9, 3, 6, 0, 0, 14, 7, 19]"
12a_0760,"[13, 4, 8, 0, 9, 10, 11, 2, 13, 5, 7, 10, 7, 4]"
12a_0762,"[12, 8, 12, 0, 9, 10, 11, 2, 4, 5, 6, 7, 4, 13]"
12a_0766,"[5, 10, 9, 7, 11, 0, 10, 12, 2, 8, 4, 5, 8, 1]"
12a_0767,"[7, 0, 8, 14, 3, 10, 0, 2, 3, 11, 3, 10, 5, 4, 13, 10, 7, 17]"
12a_0768,"[13, 10, 9, 7, 0, 10, 11, 13, 2, 8, 6, 4, 7, 5]"
12a_0769,"[11, 6, 9, 16, 11, 14, 3, 13, 2, 7, 12, 4, 14, 7, 1, 3, 11, 17]"
12a_0771,"[6, 12, 9, 0, 11, 14, 12, 3, 2, 8, 13, 5, 3, 12, 0, 3]"
